"STATION","NAME","DATE","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"MXM00076680","MEXICO CITY, MX","2021-07-06","79",",,S","53",",,S"
"MXM00076680","MEXICO CITY, MX","2021-07-07","79",",,S","53",",,S"
"MXM00076680","MEXICO CITY, MX","2021-07-08","77",",,S","56",",,S"
"MXM00076680","MEXICO CITY, MX","2021-07-09",,,,
"MXM00076680","MEXICO CITY, MX","2021-07-10","79",",,S","57",",,S"
"MXM00076680","MEXICO CITY, MX","2021-07-11","78",",,S","58",",,S"
"MXM00076680","MEXICO CITY, MX","2021-07-12","77",",,S","57",",,S"
"MXM00076680","MEXICO CITY, MX","2021-07-13","79",",,S","55",",,S"
"MXM00076680","MEXICO CITY, MX","2021-07-14",,,,
"MXM00076680","MEXICO CITY, MX","2021-07-15","77",",,S","50",",,S"
"MXM00076680","MEXICO CITY, MX","2021-07-16",,,,
"MXM00076680","MEXICO CITY, MX","2021-07-17","80",",,S","58",",,S"
"MXM00076680","MEXICO CITY, MX","2021-07-18","76",",,S","54",",,S"
"MXM00076680","MEXICO CITY, MX","2021-07-19","76",",,S","54",",,S"
"MXM00076680","MEXICO CITY, MX","2021-07-20","80",",,S","54",",,S"
"MXM00076680","MEXICO CITY, MX","2021-07-21",,,,
"MXM00076680","MEXICO CITY, MX","2021-07-23",,,,
"MXM00076680","MEXICO CITY, MX","2021-07-25","80",",,S","55",",,S"
"MXM00076680","MEXICO CITY, MX","2021-07-26","81",",,S","55",",,S"
"MXM00076680","MEXICO CITY, MX","2021-07-28","80",",,S","54",",,S"
"MXM00076680","MEXICO CITY, MX","2021-08-01","80",",,S","54",",,S"
"MXM00076680","MEXICO CITY, MX","2021-08-07","77",",,S","56",",,S"
"MXM00076680","MEXICO CITY, MX","2021-08-09","76",",,S","55",",,S"
"MXM00076680","MEXICO CITY, MX","2021-08-11","80",",,S","56",",,S"
"MXM00076680","MEXICO CITY, MX","2021-08-12","79",",,S","54",",,S"
"MXM00076680","MEXICO CITY, MX","2021-08-13","79",",,S","56",",,S"
"MXM00076680","MEXICO CITY, MX","2021-08-14","78",",,S","56",",,S"
"MXM00076680","MEXICO CITY, MX","2021-08-17","81",",,S","58",",,S"
"MXM00076680","MEXICO CITY, MX","2021-08-18","80",",,S","57",",,S"
"MXM00076680","MEXICO CITY, MX","2021-08-19","81",",,S","60",",,S"
"MXM00076680","MEXICO CITY, MX","2021-08-20","80",",,S","54",",,S"
"MXM00076680","MEXICO CITY, MX","2021-08-22","71",",,S","57",",,S"
"MXM00076680","MEXICO CITY, MX","2021-08-23","71",",,S","53",",,S"
"MXM00076680","MEXICO CITY, MX","2021-08-25","75",",,S","54",",,S"
"MXM00076680","MEXICO CITY, MX","2021-08-28",,,,
"MXM00076680","MEXICO CITY, MX","2021-08-29","78",",,S","59",",,S"
"MXM00076680","MEXICO CITY, MX","2021-08-30","78",",,S","58",",,S"
"MXM00076680","MEXICO CITY, MX","2021-08-31","79",",,S","56",",,S"
"MXM00076680","MEXICO CITY, MX","2021-09-02","68",",,S","55",",,S"
"MXM00076680","MEXICO CITY, MX","2021-09-03","70",",,S","56",",,S"
"MXM00076680","MEXICO CITY, MX","2021-09-04",,,,
"MXM00076680","MEXICO CITY, MX","2021-09-05","79",",,S","56",",,S"
"MXM00076680","MEXICO CITY, MX","2021-09-06","77",",,S","57",",,S"
"MXM00076680","MEXICO CITY, MX","2021-09-07","75",",,S","54",",,S"
"MXM00076680","MEXICO CITY, MX","2021-09-09","76",",,S","55",",,S"
"MXM00076680","MEXICO CITY, MX","2021-09-10","75",",,S","55",",,S"
"MXM00076680","MEXICO CITY, MX","2021-09-12","72",",,S","55",",,S"
"MXM00076680","MEXICO CITY, MX","2021-09-13","74",",,S","56",",,S"
"MXM00076680","MEXICO CITY, MX","2021-09-15",,,,
"MXM00076680","MEXICO CITY, MX","2021-09-16","81",",,S","56",",,S"
"MXM00076680","MEXICO CITY, MX","2021-09-17",,,,
"MXM00076680","MEXICO CITY, MX","2021-09-18","80",",,S","58",",,S"
"MXM00076680","MEXICO CITY, MX","2021-09-19","72",",,S","56",",,S"
"MXM00076680","MEXICO CITY, MX","2021-09-20",,,,
"MXM00076680","MEXICO CITY, MX","2021-09-21","78",",,S","55",",,S"
"MXM00076680","MEXICO CITY, MX","2021-09-22","79",",,S","56",",,S"
"MXM00076680","MEXICO CITY, MX","2021-09-23","74",",,S","53",",,S"
"MXM00076680","MEXICO CITY, MX","2021-09-25","76",",,S","55",",,S"
"MXM00076680","MEXICO CITY, MX","2021-09-26","78",",,S","57",",,S"
"MXM00076680","MEXICO CITY, MX","2021-09-27","79",",,S","55",",,S"
"MXM00076680","MEXICO CITY, MX","2021-09-28","79",",,S","55",",,S"
